date;traffic-source;traffic-details;users;visits;pageviews;bounceRate;pageDepth;avgVisitDurationSeconds
2020-01-05;Link traffic;liblenina.ru;2;2;3;0;1,5;30
2020-01-05;Link traffic;liblenina.ru;1;1;3;0;3;104
2020-01-05;Link traffic;littleone.com;1;1;2;0;2;229
2020-01-05;Link traffic;littleone.com;1;1;4;0;4;231
2020-01-05;Link traffic;littleone.com;3;3;3;33,33333333;1;10,33333333
2020-01-05;Link traffic;spblib.ru;3;3;4;0;1,33333333;170,3333333
2020-01-05;Search engine traffic;Yandex;2;2;10;0;5;809
2020-01-05;Search engine traffic;Yandex;5;5;7;40;1,4;87,4
2020-01-05;Search engine traffic;Google;4;4;5;25;1,25;60,25
2020-01-05;Search engine traffic;Google;2;2;2;50;1;14
2020-01-05;Search engine traffic;Google;5;5;6;20;1,2;21,4
2020-01-05;Social network traffic;VKontakte;2;2;16;0;8;674
2020-01-05;Social network traffic;VKontakte;4;5;11;0;2,2;53,2
2020-01-06;Internal traffic;;1;1;1;100;1;0
2020-01-06;Direct traffic;;4;4;15;0;3,75;378,75
2020-01-06;Direct traffic;;4;4;6;0;1,5;47,5
2020-01-06;Link traffic;adguard.com;2;2;2;100;1;0
2020-01-06;Link traffic;liblenina.ru;1;1;4;0;4;130
2020-01-06;Link traffic;liblenina.ru;1;1;1;0;1;15
2020-01-06;Link traffic;liblenina.ru;1;2;6;0;3;87,5
2020-01-06;Link traffic;littleone.com;4;4;4;25;1;11,75
2020-01-06;Link traffic;spbgaidara.ru;2;3;14;0;4,66666667;838,6666667
2020-01-06;Link traffic;spblib.ru;1;1;1;0;1;15
2020-01-06;Link traffic;u.to;1;1;1;100;1;0
2020-01-06;Link traffic;yp.ru;1;1;1;0;1;15
2020-01-06;Search engine traffic;Yandex;3;3;7;0;2,33333333;111
2020-01-06;Search engine traffic;Yandex;1;1;2;0;2;289
2020-01-06;Search engine traffic;Yandex;6;6;14;0;2,33333333;43,33333333
2020-01-06;Search engine traffic;Google;2;2;2;50;1;7,5
2020-01-06;Search engine traffic;Google;5;5;13;40;2,6;66,4
2020-01-06;Search engine traffic;Google;10;10;13;0;1,3;51,1
2020-01-06;Social network traffic;VKontakte;4;5;11;40;2,2;150
2020-01-06;Social network traffic;VKontakte;1;1;1;0;1;15
2020-01-06;Social network traffic;VKontakte;4;4;8;25;2;72,25
2020-01-07;Internal traffic;;2;2;3;0;1,5;26,5
2020-01-07;Direct traffic;;6;6;8;0;1,33333333;24
2020-01-07;Direct traffic;;3;3;3;0;1;15,33333333
2020-01-07;Link traffic;crdb-petr.ucoz.ru;1;2;3;0;1,5;15
2020-01-07;Link traffic;liblenina.ru;3;9;23;11,11111111;2,55555556;314,5555556
2020-01-07;Link traffic;littleone.com;3;3;3;33,33333333;1;10,66666667
2020-01-07;Link traffic;littleone.com;2;2;20;0;10;1127,5
2020-01-07;Link traffic;spblib.ru;1;1;12;0;12;319
2020-01-07;Search engine traffic;Yandex;2;2;4;0;2;94,5
2020-01-07;Search engine traffic;Google;1;1;3;0;3;43
2020-01-07;Search engine traffic;Google;1;1;2;0;2;306
2020-01-07;Search engine traffic;Google;7;7;16;28,57142857;2,28571429;164,4285714
2020-01-07;Social network traffic;VKontakte;3;6;15;0;2,5;171,6666667
2020-01-07;Social network traffic;VKontakte;2;4;4;25;1;11,25
2020-01-07;Social network traffic;VKontakte;2;2;4;0;2;34
2020-01-08;Internal traffic;;1;1;1;0;1;14
2020-01-08;Direct traffic;;5;5;10;60;2;49,8
2020-01-08;Direct traffic;;1;1;22;0;22;2601
2020-01-08;Direct traffic;;5;5;8;0;1,6;43,4
2020-01-08;Link traffic;liblenina.ru;1;1;4;0;4;469
2020-01-08;Link traffic;liblenina.ru;2;2;5;0;2,5;339,5
2020-01-08;Link traffic;liblenina.ru;4;7;12;0;1,71428571;492,7142857
2020-01-08;Link traffic;littleone.com;1;1;1;0;1;15
2020-01-08;Link traffic;littleone.com;1;1;1;100;1;0
2020-01-08;Link traffic;spbgaidara.ru;2;2;5;0;2,5;115,5
2020-01-08;Link traffic;spblib.ru;2;2;3;0;1,5;21,5
2020-01-08;Search engine traffic;Yandex;2;2;3;0;1,5;80,5
2020-01-08;Search engine traffic;Yandex;1;1;2;0;2;34
2020-01-08;Search engine traffic;Yandex;8;8;35;0;4,375;333
2020-01-08;Search engine traffic;Google;4;4;4;25;1;14,75
2020-01-08;Search engine traffic;Google;2;2;2;100;1;0
2020-01-08;Search engine traffic;Google;7;7;11;14,28571429;1,57142857;221,1428571
2020-01-08;Social network traffic;VKontakte;3;3;6;0;2;182,6666667
2020-01-08;Social network traffic;VKontakte;1;2;5;0;2,5;728
2020-01-08;Social network traffic;VKontakte;8;9;19;11,11111111;2,11111111;79,11111111
2020-01-09;Internal traffic;;2;2;3;0;1,5;482,5
2020-01-09;Internal traffic;;3;3;3;0;1;18
2020-01-09;Direct traffic;;2;2;11;0;5,5;229,5
2020-01-09;Direct traffic;;3;3;7;33,33333333;2,33333333;19,33333333
2020-01-09;Direct traffic;;4;4;6;0;1,5;10,25
2020-01-09;Link traffic;liblenina.ru;2;2;4;0;2;78,5
2020-01-09;Link traffic;liblenina.ru;1;1;2;0;2;215
2020-01-09;Link traffic;liblenina.ru;4;6;19;0;3,16666667;376,1666667
2020-01-09;Link traffic;littleone.com;1;1;1;0;1;15
2020-01-09;Link traffic;littleone.com;1;1;1;0;1;15
2020-01-09;Link traffic;littleone.com;7;7;7;14,28571429;1;13,42857143
2020-01-09;Link traffic;spblib.ru;1;1;1;0;1;31
2020-01-09;Link traffic;yandex.ru;1;1;2;0;2;18
2020-01-09;Search engine traffic;Yandex;6;9;94;11,11111111;10,44444444;1470,111111
2020-01-09;Search engine traffic;Yandex;1;1;1;0;1;15
2020-01-09;Search engine traffic;Yandex;10;11;32;0;2,90909091;120,0909091
2020-01-09;Search engine traffic;Google;4;4;7;25;1,75;17,25
2020-01-09;Search engine traffic;Google;4;4;5;25;1,25;46
2020-01-09;Search engine traffic;Google;4;4;4;25;1;11,25
2020-01-09;Search engine traffic;Mail.ru;1;1;1;100;1;0
2020-01-09;Social network traffic;VKontakte;5;6;16;0;2,66666667;80,83333333
2020-01-09;Social network traffic;VKontakte;9;11;38;27,27272727;3,45454545;258,9090909
2020-01-10;Internal traffic;;1;1;1;100;1;0
2020-01-10;Internal traffic;;2;3;4;0;1,33333333;206,3333333
2020-01-10;Direct traffic;;16;16;21;75;1,3125;21,75
2020-01-10;Direct traffic;;11;11;35;0;3,18181818;71,81818182
2020-01-10;Link traffic;a.pr-cy.ru;1;1;1;100;1;0
2020-01-10;Link traffic;liblenina.ru;1;1;1;0;1;15
2020-01-10;Link traffic;liblenina.ru;1;1;2;0;2;11
2020-01-10;Link traffic;liblenina.ru;6;7;17;0;2,42857143;267,1428571
2020-01-10;Link traffic;littleone.com;1;1;1;100;1;0
2020-01-10;Link traffic;littleone.com;10;13;16;38,46153846;1,23076923;26,15384615
2020-01-10;Link traffic;spbgaidara.ru;1;1;3;0;3;80
2020-01-10;Link traffic;spblib.ru;1;1;4;0;4;135
2020-01-10;Search engine traffic;Yandex;4;10;46;10;4,6;395,5
2020-01-10;Search engine traffic;Yandex;2;2;3;0;1,5;16,5
2020-01-10;Search engine traffic;Yandex;9;11;49;0;4,45454545;431,5454546
2020-01-10;Search engine traffic;Google;5;5;10;0;2;67
2020-01-10;Search engine traffic;Google;5;7;19;28,57142857;2,71428571;117
2020-01-10;Search engine traffic;Google;4;4;14;0;3,5;140,75
2020-01-10;Search engine traffic;Mail.ru;1;1;2;0;2;32
2020-01-10;Social network traffic;VKontakte;2;3;4;0;1,33333333;46,66666667
2020-01-10;Social network traffic;VKontakte;1;1;6;0;6;120
2020-01-10;Social network traffic;VKontakte;6;6;15;0;2,5;122,6666667
2020-01-11;Internal traffic;;1;1;1;100;1;0
2020-01-11;Internal traffic;;2;2;2;100;1;0
2020-01-11;Direct traffic;;4;4;6;50;1,5;15,25
2020-01-11;Direct traffic;;4;4;11;0;2,75;76,75
2020-01-11;Direct traffic;;7;7;17;0;2,42857143;56,42857143
2020-01-11;Link traffic;liblenina.ru;3;4;5;0;1,25;106,25
2020-01-11;Link traffic;littleone.com;4;4;4;25;1;14,5
2020-01-11;Link traffic;littleone.com;1;1;2;0;2;266
2020-01-11;Link traffic;littleone.com;3;3;3;33,33333333;1;11,33333333
2020-01-11;Link traffic;spblib.ru;2;2;10;0;5;793,5
2020-01-11;Link traffic;spblib.ru;1;1;6;0;6;393
2020-01-11;Link traffic;startmain.ru;1;1;1;100;1;0
2020-01-11;Search engine traffic;Yandex;1;1;1;0;1;14
2020-01-11;Search engine traffic;Yandex;1;1;6;0;6;661
2020-01-11;Search engine traffic;Yandex;5;5;16;20;3,2;137,8
2020-01-11;Search engine traffic;Google;1;1;1;0;1;15
2020-01-11;Search engine traffic;Google;4;4;4;25;1;13,75
2020-01-11;Search engine traffic;Google;8;11;21;9,09090909;1,90909091;105,1818182
2020-01-11;Social network traffic;VKontakte;1;1;3;0;3;181
2020-01-11;Social network traffic;VKontakte;9;9;27;0;3;74,11111111
2020-01-11;Social network traffic;Facebook;1;1;4;0;4;133
2020-01-12;Internal traffic;;1;1;1;0;1;649
2020-01-12;Internal traffic;;1;1;1;0;1;15
2020-01-12;Direct traffic;;6;6;12;0;2;140,5
2020-01-12;Direct traffic;;4;5;6;0;1,2;20
2020-01-12;Link traffic;liblenina.ru;1;1;1;0;1;15
2020-01-12;Link traffic;littleone.com;1;1;1;0;1;15
2020-01-12;Link traffic;littleone.com;1;1;1;100;1;0
2020-01-12;Link traffic;littleone.com;2;2;2;0;1;15
2020-01-12;Link traffic;spblib.ru;1;1;1;0;1;650
2020-01-12;Search engine traffic;Yandex;4;4;31;25;7,75;165,25
2020-01-12;Search engine traffic;Yandex;3;3;3;0;1;24
2020-01-12;Search engine traffic;Yandex;5;7;35;0;5;406,1428571
2020-01-12;Search engine traffic;Google;4;5;10;20;2;68,2
2020-01-12;Search engine traffic;Google;1;1;3;0;3;775
2020-01-12;Search engine traffic;Google;6;6;7;33,33333333;1,16666667;15,66666667
2020-01-12;Social network traffic;VKontakte;2;6;20;16,66666667;3,33333333;125,3333333
2020-01-12;Social network traffic;Facebook;1;1;1;0;1;15
2020-01-13;Internal traffic;;3;3;3;100;1;0
2020-01-13;Direct traffic;;39;39;59;30,76923077;1,51282051;49,30769231
2020-01-13;Direct traffic;;4;4;14;25;3,5;250,25
2020-01-13;Direct traffic;;5;5;7;0;1,4;292,4
2020-01-13;Link traffic;liblenina.ru;1;1;3;0;3;217
2020-01-13;Link traffic;liblenina.ru;2;2;7;0;3,5;219,5
2020-01-13;Link traffic;link.2gis.ru;1;1;2;0;2;21
2020-01-13;Link traffic;peterburg2.ru;1;1;1;0;1;15
2020-01-13;Link traffic;spbgaidara.ru;1;1;6;0;6;314
2020-01-13;Link traffic;spbgaidara.ru;1;1;1;0;1;22
2020-01-13;Link traffic;spblib.ru;1;1;3;0;3;41
2020-01-13;Search engine traffic;Yandex;3;3;5;66,66666667;1,66666667;47,33333333
2020-01-13;Search engine traffic;Yandex;3;3;6;0;2;211
2020-01-13;Search engine traffic;Yandex;9;9;47;11,11111111;5,22222222;817,2222222
2020-01-13;Search engine traffic;Google;2;2;2;100;1;0
2020-01-13;Search engine traffic;Google;4;4;5;0;1,25;13,5
2020-01-13;Search engine traffic;Google;12;12;30;50;2,5;89,83333333
2020-01-13;Social network traffic;VKontakte;1;1;1;0;1;15
2020-01-13;Social network traffic;VKontakte;1;1;5;0;5;112
2020-01-13;Social network traffic;VKontakte;5;10;29;30;2,9;103,4
2020-01-13;Recommendation system traffic;Google Discover;1;1;2;0;2;37
2020-01-13;Messenger traffic;Telegram;1;1;1;0;1;31
2020-01-14;Internal traffic;;1;1;1;0;1;17
2020-01-14;Internal traffic;;4;6;7;16,66666667;1,16666667;33,66666667
2020-01-14;Direct traffic;;8;8;16;25;2;50,5
2020-01-14;Direct traffic;;3;3;7;0;2,33333333;283,6666667
2020-01-14;Direct traffic;;7;8;10;12,5;1,25;20,5
2020-01-14;Link traffic;liblenina.ru;2;2;20;0;10;556
2020-01-14;Link traffic;liblenina.ru;3;4;6;0;1,5;59,25
2020-01-14;Link traffic;link.2gis.ru;1;1;2;0;2;326
2020-01-14;Link traffic;link.2gis.ru;1;1;2;0;2;17
2020-01-14;Link traffic;mohovaya38.ru;1;1;2;0;2;30
2020-01-14;Search engine traffic;Yandex;4;6;9;16,66666667;1,5;24,83333333
2020-01-14;Search engine traffic;Yandex;1;1;1;0;1;29
2020-01-14;Search engine traffic;Yandex;9;10;26;10;2,6;293,5
2020-01-14;Search engine traffic;Google;2;2;9;0;4,5;1009
2020-01-14;Search engine traffic;Google;5;5;5;40;1;9,2
2020-01-14;Search engine traffic;Google;7;7;8;28,57142857;1,14285714;12,57142857
2020-01-14;Social network traffic;VKontakte;3;3;8;0;2,66666667;513,3333333
2020-01-14;Social network traffic;VKontakte;11;14;43;14,28571429;3,07142857;89,64285714
2020-01-14;Recommendation system traffic;Google Discover;1;1;2;0;2;27
2020-01-15;Internal traffic;;1;1;1;100;1;0
2020-01-15;Internal traffic;;2;2;4;0;2;84
2020-01-15;Direct traffic;;53;57;166;33,33333333;2,9122807;365,6842105
2020-01-15;Direct traffic;;3;6;19;0;3,16666667;611,5
2020-01-15;Direct traffic;;9;9;20;0;2,22222222;222,3333333
2020-01-15;Link traffic;liblenina.ru;1;2;6;50;3;213,5
2020-01-15;Link traffic;liblenina.ru;1;1;1;100;1;0
2020-01-15;Link traffic;spbgaidara.ru;1;2;2;50;1;12,5
2020-01-15;Link traffic;spblib.ru;3;7;8;28,57142857;1,14285714;13,42857143
2020-01-15;Link traffic;yandex.ru;1;1;5;0;5;629
2020-01-15;Search engine traffic;Yandex;8;9;22;0;2,44444444;250,7777778
2020-01-15;Search engine traffic;Yandex;9;10;36;0;3,6;252
2020-01-15;Search engine traffic;Google;2;2;2;50;1;8
2020-01-15;Search engine traffic;Google;6;6;8;0;1,33333333;68,5
2020-01-15;Search engine traffic;Google;10;10;12;30;1,2;13,2
2020-01-15;Social network traffic;VKontakte;1;1;2;0;2;72
2020-01-15;Social network traffic;VKontakte;7;11;29;18,18181818;2,63636364;459,0909091
2020-01-16;Internal traffic;;7;7;11;14,28571429;1,57142857;117,1428571
2020-01-16;Internal traffic;;4;4;9;25;2,25;67
2020-01-16;Direct traffic;;5;5;12;20;2,4;278,4
2020-01-16;Direct traffic;;1;1;2;0;2;48
2020-01-16;Direct traffic;;7;11;21;9,09090909;1,90909091;35,36363636
2020-01-16;Link traffic;crdb-petr.ucoz.ru;1;1;1;0;1;15
2020-01-16;Link traffic;liblenina.ru;1;1;2;0;2;29
2020-01-16;Link traffic;liblenina.ru;1;1;3;0;3;296
2020-01-16;Link traffic;liblenina.ru;3;3;8;0;2,66666667;114,3333333
2020-01-16;Link traffic;peterburg2.ru;1;1;1;0;1;15
2020-01-16;Link traffic;spblib.ru;1;1;6;0;6;67
2020-01-16;Link traffic;yandex.ru;1;1;4;0;4;25
2020-01-16;Search engine traffic;Yandex;3;4;9;0;2,25;82,5
2020-01-16;Search engine traffic;Yandex;1;1;2;0;2;337
2020-01-16;Search engine traffic;Yandex;4;4;12;0;3;54,5
2020-01-16;Search engine traffic;Google;4;4;8;50;2;66,5
2020-01-16;Search engine traffic;Google;3;4;6;25;1,5;19,75
2020-01-16;Search engine traffic;Google;16;18;41;33,33333333;2,27777778;183,7222222
2020-01-16;Social network traffic;VKontakte;2;2;7;0;3,5;209
2020-01-16;Social network traffic;VKontakte;1;1;10;0;10;611
2020-01-16;Social network traffic;VKontakte;11;14;30;0;2,14285714;279,2857143
2020-01-17;Internal traffic;;1;1;1;0;1;15
2020-01-17;Direct traffic;;56;63;191;20,63492063;3,03174603;294,5079365
2020-01-17;Direct traffic;;1;1;2;0;2;5
2020-01-17;Direct traffic;;4;4;9;0;2,25;95
2020-01-17;Link traffic;gaidar.ucoz.ru;1;1;3;0;3;111
2020-01-17;Link traffic;liblenina.ru;1;1;1;0;1;19
2020-01-17;Link traffic;liblenina.ru;4;4;5;0;1,25;20
2020-01-17;Link traffic;link.2gis.ru;2;3;5;0;1,66666667;26,33333333
2020-01-17;Link traffic;spbgaidara.ru;1;1;3;0;3;106
2020-01-17;Link traffic;spblib.ru;1;3;4;0;1,33333333;348,3333333
2020-01-17;Link traffic;tracker.ak-dev.adc.vpn;1;1;2;0;2;22
2020-01-17;Link traffic;tracker.ak-dev.adc.vpn;1;1;1;0;1;16
2020-01-17;Link traffic;yandex.ru;1;1;4;0;4;116
2020-01-17;Search engine traffic;Yandex;4;5;8;0;1,6;199,6
2020-01-17;Search engine traffic;Yandex;2;2;5;0;2,5;329,5
2020-01-17;Search engine traffic;Yandex;5;5;14;0;2,8;63,6
2020-01-17;Search engine traffic;Google;6;7;26;14,28571429;3,71428571;446,1428571
2020-01-17;Search engine traffic;Google;2;2;10;0;5;958,5
2020-01-17;Search engine traffic;Google;10;13;33;15,38461538;2,53846154;80,92307692
2020-01-17;Social network traffic;VKontakte;1;1;1;100;1;0
2020-01-17;Social network traffic;VKontakte;11;13;30;30,76923077;2,30769231;107,3846154
2020-01-17;Recommendation system traffic;Google Discover;1;1;1;100;1;0
2020-01-18;Internal traffic;;3;3;4;66,66666667;1,33333333;19,66666667
2020-01-18;Internal traffic;;5;6;11;16,66666667;1,83333333;44,66666667
2020-01-18;Direct traffic;;7;7;9;28,57142857;1,28571429;13,42857143
2020-01-18;Direct traffic;;2;2;6;0;3;85,5
2020-01-18;Direct traffic;;6;6;12;0;2;66,66666667
2020-01-18;Link traffic;liblenina.ru;1;1;3;0;3;314
2020-01-18;Link traffic;spbgaidara.ru;1;1;2;0;2;48
2020-01-18;Link traffic;spblib.ru;1;1;1;0;1;15
2020-01-18;Link traffic;spblib.ru;1;1;1;0;1;15
2020-01-18;Search engine traffic;Yandex;2;2;5;50;2,5;80,5
2020-01-18;Search engine traffic;Yandex;4;5;19;0;3,8;400
2020-01-18;Search engine traffic;Yandex;4;4;35;0;8,75;1357,75
2020-01-18;Search engine traffic;Google;10;10;12;0;1,2;121,3
2020-01-18;Search engine traffic;Google;4;4;4;50;1;7,75
2020-01-18;Search engine traffic;Google;8;9;13;22,22222222;1,44444444;269,8888889
2020-01-18;Social network traffic;VKontakte;1;1;1;0;1;15
2020-01-18;Social network traffic;VKontakte;1;1;2;0;2;21
2020-01-18;Social network traffic;VKontakte;7;10;16;10;1,6;90,9
2020-01-19;Internal traffic;;1;1;1;0;1;16
2020-01-19;Direct traffic;;6;6;9;16,66666667;1,5;33,83333333
2020-01-19;Direct traffic;;1;1;7;0;7;264
2020-01-19;Direct traffic;;6;7;9;0;1,28571429;32,85714286
2020-01-19;Link traffic;spblib.ru;1;1;1;0;1;15
2020-01-19;Link traffic;spblib.ru;1;1;1;0;1;16
2020-01-19;Search engine traffic;Yandex;4;5;26;20;5,2;263,2
2020-01-19;Search engine traffic;Yandex;7;9;37;0;4,11111111;92,88888889
2020-01-19;Search engine traffic;Google;7;7;20;28,57142857;2,85714286;90,71428571
2020-01-19;Search engine traffic;Google;2;2;2;50;1;7,5
2020-01-19;Search engine traffic;Google;10;11;29;27,27272727;2,63636364;37,81818182
2020-01-19;Social network traffic;VKontakte;2;2;3;0;1,5;711,5
2020-01-19;Social network traffic;VKontakte;3;3;6;0;2;82
2020-01-20;Internal traffic;;3;3;25;33,33333333;8,33333333;383,6666667
2020-01-20;Internal traffic;;1;1;6;0;6;614
2020-01-20;Internal traffic;;2;2;3;50;1,5;37,5
2020-01-20;Direct traffic;;51;57;199;21,05263158;3,49122807;370,245614
2020-01-20;Direct traffic;;5;5;9;20;1,8;12,2
2020-01-20;Direct traffic;;9;15;38;13,33333333;2,53333333;172,2666667
2020-01-20;Link traffic;liblenina.ru;4;4;6;50;1,5;55,5
2020-01-20;Link traffic;spblib.ru;1;1;2;0;2;40
2020-01-20;Link traffic;yandex.com;1;1;3;0;3;55
2020-01-20;Link traffic;yandex.ru;1;1;3;0;3;13
2020-01-20;Search engine traffic;Yandex;3;5;9;20;1,8;30
2020-01-20;Search engine traffic;Yandex;2;2;7;0;3,5;45,5
2020-01-20;Search engine traffic;Yandex;9;12;32;8,33333333;2,66666667;104,8333333
2020-01-20;Search engine traffic;Google;5;7;10;14,28571429;1,42857143;31,42857143
2020-01-20;Search engine traffic;Google;5;5;8;60;1,6;268
2020-01-20;Search engine traffic;Google;10;11;27;36,36363636;2,45454545;202,4545455
2020-01-20;Social network traffic;VKontakte;1;1;2;0;2;19
2020-01-20;Social network traffic;VKontakte;1;1;5;0;5;339
2020-01-20;Social network traffic;VKontakte;11;17;46;5,88235294;2,70588235;260,5882353
2020-01-20;Recommendation system traffic;Google Discover;1;1;3;0;3;119
2020-01-21;Internal traffic;;1;1;1;0;1;17
2020-01-21;Internal traffic;;3;4;7;25;1,75;75,5
2020-01-21;Direct traffic;;34;36;151;8,33333333;4,19444444;589,3611111
2020-01-21;Direct traffic;;5;6;11;16,66666667;1,83333333;399,5
2020-01-21;Link traffic;spblib.ru;1;1;1;0;1;17
2020-01-21;Link traffic;yandex.ru;1;1;5;0;5;42
2020-01-21;Link traffic;yp.ru;1;1;1;0;1;15
2020-01-21;Search engine traffic;Yandex;1;1;1;100;1;0
2020-01-21;Search engine traffic;Yandex;4;4;5;25;1,25;12,5
2020-01-21;Search engine traffic;Yandex;11;13;29;0;2,23076923;277,3846154
2020-01-21;Search engine traffic;Google;6;6;13;33,33333333;2,16666667;202,8333333
2020-01-21;Search engine traffic;Google;5;7;11;14,28571429;1,57142857;283,8571429
2020-01-21;Search engine traffic;Google;7;7;23;28,57142857;3,28571429;243,8571429
2020-01-21;Social network traffic;VKontakte;3;3;22;0;7,33333333;370,6666667
2020-01-21;Social network traffic;VKontakte;2;3;5;33,33333333;1,66666667;550,3333333
2020-01-21;Social network traffic;VKontakte;2;5;18;20;3,6;252
2020-01-22;Internal traffic;;2;4;37;25;9,25;1448
2020-01-22;Internal traffic;;2;2;152;0;76;3227,5
2020-01-22;Internal traffic;;1;1;1;0;1;15
2020-01-22;Direct traffic;;9;15;131;13,33333333;8,73333333;1325,066667
2020-01-22;Direct traffic;;2;2;151;0;75,5;4234
2020-01-22;Direct traffic;;10;11;30;9,09090909;2,72727273;246,8181818
2020-01-22;Link traffic;liblenina.ru;1;1;1;0;1;25
2020-01-22;Link traffic;liblenina.ru;2;2;2;0;1;19
2020-01-22;Search engine traffic;DuckDuckGo;1;2;11;0;5,5;256
2020-01-22;Search engine traffic;Yandex;1;1;1;0;1;22
2020-01-22;Search engine traffic;Yandex;2;4;6;25;1,5;21,25
2020-01-22;Search engine traffic;Yandex;9;11;37;9,09090909;3,36363636;220,3636364
2020-01-22;Search engine traffic;Google;4;4;24;25;6;286,75
2020-01-22;Search engine traffic;Google;3;3;3;33,33333333;1;14,33333333
2020-01-22;Search engine traffic;Google;8;9;11;11,11111111;1,22222222;25,22222222
2020-01-22;Social network traffic;VKontakte;1;1;2;0;2;16
2020-01-22;Social network traffic;VKontakte;9;12;29;0;2,41666667;51,41666667
2020-01-23;Internal traffic;;2;3;11;0;3,66666667;185
2020-01-23;Internal traffic;;1;2;2;50;1;10,5
2020-01-23;Direct traffic;;37;40;192;5;4,8;553,425
2020-01-23;Direct traffic;;1;1;4;0;4;726
2020-01-23;Direct traffic;;10;13;19;7,69230769;1,46153846;120,7692308
2020-01-23;Link traffic;liblenina.ru;2;2;8;0;4;119
2020-01-23;Link traffic;link.2gis.ru;1;1;3;0;3;178
2020-01-23;Link traffic;spbgaidara.ru;1;2;6;0;3;75
2020-01-23;Search engine traffic;Yandex;3;3;6;0;2;30,66666667
2020-01-23;Search engine traffic;Yandex;1;4;131;25;32,75;1740
2020-01-23;Search engine traffic;Yandex;8;10;19;10;1,9;55
2020-01-23;Search engine traffic;Google;5;5;5;60;1;99,2
2020-01-23;Search engine traffic;Google;4;4;5;50;1,25;7,25
2020-01-23;Search engine traffic;Google;12;13;23;30,76923077;1,76923077;49,53846154
2020-01-23;Search engine traffic;Bing;1;1;1;0;1;9
2020-01-23;Social network traffic;VKontakte;5;6;26;16,66666667;4,33333333;355,6666667
2020-01-24;Internal traffic;;1;2;2;0;1;15
2020-01-24;Direct traffic;;32;37;378;10,81081081;10,21621622;548,7567568
2020-01-24;Direct traffic;;2;2;5;0;2,5;94
2020-01-24;Direct traffic;;4;4;7;0;1,75;426,75
2020-01-24;Link traffic;liblenina.ru;2;2;4;0;2;281
2020-01-24;Link traffic;liblenina.ru;1;2;2;0;1;80,5
2020-01-24;Link traffic;link.2gis.ru;2;2;10;0;5;463,5
2020-01-24;Link traffic;peterburg2.ru;1;1;6;0;6;679
2020-01-24;Link traffic;spbgaidara.ru;2;4;13;25;3,25;877,75
2020-01-24;Link traffic;spblib.ru;1;1;1;0;1;16
2020-01-24;Link traffic;spblib.ru;1;2;11;50;5,5;317
2020-01-24;Search engine traffic;Yandex;2;2;5;0;2,5;59
2020-01-24;Search engine traffic;Yandex;3;4;7;0;1,75;46,5
2020-01-24;Search engine traffic;Yandex;5;7;23;0;3,28571429;175
2020-01-24;Search engine traffic;Google;7;8;14;12,5;1,75;44,75
2020-01-24;Search engine traffic;Google;7;7;23;14,28571429;3,28571429;300,2857143
2020-01-24;Search engine traffic;Google;12;16;41;25;2,5625;123,0625
2020-01-24;Social network traffic;VKontakte;5;7;35;0;5;216,2857143
2020-01-25;Internal traffic;;4;6;9;16,66666667;1,5;73,83333333
2020-01-25;Direct traffic;;8;8;20;0;2,5;113,125
2020-01-25;Direct traffic;;2;2;2;50;1;7,5
2020-01-25;Direct traffic;;6;6;8;16,66666667;1,33333333;17
2020-01-25;Link traffic;liblenina.ru;2;4;4;25;1;15,75
2020-01-25;Search engine traffic;Yandex;2;2;9;0;4,5;131,5
2020-01-25;Search engine traffic;Yandex;1;1;10;0;10;465
2020-01-25;Search engine traffic;Yandex;3;5;20;0;4;609,6
2020-01-25;Search engine traffic;Google;5;5;13;80;2,6;226,6
2020-01-25;Search engine traffic;Google;3;3;10;0;3,33333333;87,66666667
2020-01-25;Search engine traffic;Google;6;6;14;33,33333333;2,33333333;219,6666667
2020-01-25;Search engine traffic;Mail.ru;1;1;1;0;1;15
2020-01-25;Social network traffic;VKontakte;1;1;1;100;1;0
2020-01-25;Social network traffic;VKontakte;3;3;3;0;1;14,66666667
2020-01-25;Social network traffic;VKontakte;6;7;15;0;2,14285714;59,57142857
2020-01-26;Internal traffic;;2;2;4;0;2;166,5
2020-01-26;Internal traffic;;2;2;2;50;1;7,5
2020-01-26;Direct traffic;;6;6;10;16,66666667;1,66666667;21,5
2020-01-26;Direct traffic;;3;3;5;0;1,66666667;114,6666667
2020-01-26;Direct traffic;;5;5;7;0;1,4;37,4
2020-01-26;Link traffic;liblenina.ru;1;1;1;100;1;0
2020-01-26;Link traffic;spblib.ru;1;1;2;0;2;66
2020-01-26;Link traffic;yandex.ru;1;1;1;100;1;0
2020-01-26;Search engine traffic;Yandex;1;1;1;0;1;0
2020-01-26;Search engine traffic;Yandex;1;1;2;0;2;21
2020-01-26;Search engine traffic;Yandex;5;5;13;0;2,6;63
2020-01-26;Search engine traffic;Google;3;3;3;33,33333333;1;10
2020-01-26;Search engine traffic;Google;3;3;7;33,33333333;2,33333333;97,33333333
2020-01-26;Search engine traffic;Google;6;6;13;33,33333333;2,16666667;80
2020-01-26;Social network traffic;VKontakte;1;1;3;0;3;97
2020-01-26;Social network traffic;VKontakte;2;2;3;50;1,5;8
2020-01-26;Social network traffic;VKontakte;9;10;24;10;2,4;212,3
2020-01-27;Internal traffic;;4;4;6;25;1,5;39,5
